"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE__C","ANCHOR__C","ASSESSOR__C","COMPETENCY__C","SCORE_AREA__C","STATUS"
"a0621000000XOp5AAG","0051a000001M4IpAAK","false","ANC-0006","2016-05-11T07:01:30.000Z","0051a000001M4IpAAK","2016-05-11T07:01:30.000Z","0051a000001M4IpAAK","2016-05-11T07:01:30.000Z","","","true","Sets the bar high and is never happy with the status quo","People Manager","Dream Big","Favorable","Item Created"
"a0621000000XOp6AAG","0051a000001M4IpAAK","false","ANC-0014","2016-05-11T08:15:41.000Z","0051a000001M4IpAAK","2016-05-11T08:15:41.000Z","0051a000001M4IpAAK","2016-05-11T08:15:41.000Z","","","true","Failed to articulate interest in position.","People Manager","Interest And Ambition","Unfavorable","Item Created"
"a0621000000XOp7AAG","0051a000001M4IpAAK","false","ANC-0010","2016-05-11T08:13:36.000Z","0051a000001M4IpAAK","2016-05-11T08:13:36.000Z","0051a000001M4IpAAK","2016-05-11T08:13:36.000Z","","","true","Has been somewhat effective in leading project/team","People Manager","Develop People","Acceptable","Item Created"
"a0621000000XOp8AAG","0051a000001M4IpAAK","false","ANC-0016","2016-05-11T08:16:11.000Z","0051a000001M4IpAAK","2016-05-11T08:16:11.000Z","0051a000001M4IpAAK","2016-05-11T08:16:11.000Z","","","true","Demonstrated some awareness of ABI Competencies and Principles.","People Manager","Interest And Ambition","Acceptable","Item Created"
"a0621000000XOp9AAG","0051a000001M4IpAAK","false","ANC-0017","2016-05-11T08:16:39.000Z","0051a000001M4IpAAK","2016-05-11T08:16:39.000Z","0051a000001M4IpAAK","2016-05-11T08:16:39.000Z","","","true","Demonstrated some enthusiasm for the position.","People Manager","Interest And Ambition","Acceptable","Item Created"
"a0621000000XOpAAAW","0051a000001M4IpAAK","false","ANC-0005","2016-05-11T07:01:13.000Z","0051a000001M4IpAAK","2016-05-11T07:01:13.000Z","0051a000001M4IpAAK","2016-05-11T07:01:13.000Z","","","true","Provided several detailed examples to demonstrate how accomplishments distinguished self from peers.","People Manager","Dream Big","Favorable","Item Created"
"a0621000000XOpBAAW","0051a000001M4IpAAK","false","ANC-0002","2016-05-11T07:00:19.000Z","0051a000001M4IpAAK","2016-05-11T07:00:19.000Z","0051a000001M4IpAAK","2016-05-11T07:00:19.000Z","","","true","Does not pro-actively seek tough challenges","People Manager","Dream Big","Unfavorable","Item Created"
"a0621000000XOpCAAW","0051a000001M4IpAAK","false","ANC-0003","2016-05-11T07:00:38.000Z","0051a000001M4IpAAK","2016-05-11T07:00:38.000Z","0051a000001M4IpAAK","2016-05-11T07:00:38.000Z","","","true","Provided performance or results-oriented accomplishment","People Manager","Dream Big","Acceptable","Item Created"
"a0621000000XOpDAAW","0051a000001M4IpAAK","false","ANC-0019","2016-05-11T08:17:16.000Z","0051a000001M4IpAAK","2016-05-11T08:17:16.000Z","0051a000001M4IpAAK","2016-05-11T08:17:16.000Z","","","true","Enthusiastic throughout interview about the company and role","People Manager","Interest And Ambition","Favorable","Item Created"
"a0621000000XOpEAAW","0051a000001M4IpAAK","false","ANC-0001","2016-05-11T06:59:52.000Z","0051a000001M4IpAAK","2016-05-11T06:59:52.000Z","0051a000001M4IpAAK","2016-05-11T06:59:52.000Z","","","true","Unable to describe relatively specific achievements","People Manager","Dream Big","Unfavorable","Item Created"
"a0621000000XOpFAAW","0051a000001M4IpAAK","false","ANC-0012","2016-05-11T08:14:21.000Z","0051a000001M4IpAAK","2016-05-11T08:14:21.000Z","0051a000001M4IpAAK","2016-05-11T08:14:21.000Z","","","true","Upholds principles of meritocracy","People Manager","Develop People","Favorable","Item Created"
"a0621000000XOpGAAW","0051a000001M4IpAAK","false","ANC-0009","2016-05-11T08:13:16.000Z","0051a000001M4IpAAK","2016-05-11T08:13:16.000Z","0051a000001M4IpAAK","2016-05-11T08:13:16.000Z","","","true","Leadership role was appointed to them","People Manager","Develop People","Acceptable","Item Created"
"a0621000000XOpHAAW","0051a000001M4IpAAK","false","ANC-0008","2016-05-11T08:12:58.000Z","0051a000001M4IpAAK","2016-05-11T08:12:58.000Z","0051a000001M4IpAAK","2016-05-11T08:12:58.000Z","","","true","Does not lead in a way that encouraged meritocracy","People Manager","Develop People","Unfavorable","Item Created"
"a0621000000XOpIAAW","0051a000001M4IpAAK","false","ANC-0011","2016-05-11T08:13:53.000Z","0051a000001M4IpAAK","2016-05-11T08:13:53.000Z","0051a000001M4IpAAK","2016-05-11T08:13:53.000Z","","","true","Leads by example","People Manager","Develop People","Favorable","Item Created"
"a0621000000XOpJAAW","0051a000001M4IpAAK","false","ANC-0013","2016-05-11T08:14:38.000Z","0051a000001M4IpAAK","2016-05-11T08:14:38.000Z","0051a000001M4IpAAK","2016-05-11T08:14:38.000Z","","","true","Actively sought out leadership opportunity","People Manager","Develop People","Favorable","Item Created"
"a0621000000XOpKAAW","0051a000001M4IpAAK","false","ANC-0004","2016-05-11T07:00:56.000Z","0051a000001M4IpAAK","2016-05-11T07:00:56.000Z","0051a000001M4IpAAK","2016-05-11T07:00:56.000Z","","","true","Accepts challenges or tough circumstances","People Manager","Dream Big","Acceptable","Item Created"
"a0621000000XOpLAAW","0051a000001M4IpAAK","false","ANC-0015","2016-05-11T08:15:57.000Z","0051a000001M4IpAAK","2016-05-11T08:15:57.000Z","0051a000001M4IpAAK","2016-05-11T08:15:57.000Z","","","true","Demonstrated no awareness of ABI Competencies and Principles","People Manager","Interest And Ambition","Unfavorable","Item Created"
"a0621000000XOpMAAW","0051a000001M4IpAAK","false","ANC-0018","2016-05-11T08:16:54.000Z","0051a000001M4IpAAK","2016-05-11T08:17:52.000Z","0051a000001M4IpAAK","2016-05-11T08:17:52.000Z","","","true","Demonstrated awareness of ABI Competencies and Principles throughout the session.","People Manager","Interest And Ambition","Favorable","Item Created"
"a0621000000XOpNAAW","0051a000001M4IpAAK","false","ANC-0007","2016-05-11T08:12:41.000Z","0051a000001M4IpAAK","2016-05-11T08:12:41.000Z","0051a000001M4IpAAK","2016-05-11T08:12:41.000Z","","","true","Does not create strong relationships with employee/team","People Manager","Develop People","Unfavorable","Item Created"
"a0621000000XOpOAAW","0051a000001M4IpAAK","false","ANC-0056","2016-05-18T08:05:59.000Z","0051a000001M4IpAAK","2016-05-18T08:05:59.000Z","0051a000001M4IpAAK","2016-05-18T08:05:59.000Z","","","true","Does not lead in a way that encouraged meritocracy","Cultural Bar Raiser","Develop People","Unfavorable","Item Created"
