"ID","ISDELETED","NAME","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","ANCHOR_ASSESSOR__C","ASSESSOR__C","COMPETENCY__C","HAS_ANCHOR__C","INTRO__C","IS_ACTIVE__C","STATUS"
"a0921000000EUPTAA4","false","Cultural Bar Raiser -Develop People","00D630000008mytEAA","2016-05-30T11:42:56.000Z","00563000000JZfLAAW","2016-05-30T12:43:41.000Z","00563000000JZfLAAW","2016-05-30T12:43:41.000Z","Cultural Bar Raiser","Cultural Bar Raiser","Develop People","true","Select One of the Questions for Develop People area.","true","Item Created"
"a0921000000EUPUAA4","false","People Manager - Dream Big","00D630000008mytEAA","2016-05-30T11:37:06.000Z","00563000000JZfLAAW","2016-05-30T12:45:01.000Z","00563000000JZfLAAW","2016-05-30T12:45:01.000Z","People Manager","People Manager","Dream Big","true","Select One of the Questions for Big Dream area.","true","Item Created"
"a0921000000EUPVAA4","false","Key Challenger - Connecting The Dots","00D630000008mytEAA","2016-05-30T12:16:33.000Z","00563000000JZfLAAW","2016-05-30T12:44:31.000Z","00563000000JZfLAAW","2016-05-30T12:44:31.000Z","","Key Challenger","Connecting The Dots","false","Select One of the Questions for Connecting The Dots.","true","Item Created"
"a0921000000EUPWAA4","false","Key Challenger - Functional Challenge","00D630000008mytEAA","2016-05-30T12:16:54.000Z","00563000000JZfLAAW","2016-05-30T12:44:36.000Z","00563000000JZfLAAW","2016-05-30T12:44:36.000Z","","Key Challenger","Functional Challenge","false","Select One of the Questions for Functional Challenges.","true","Item Created"
"a0921000000EUPXAA4","false","People Manager - Interest And Ambition","00D630000008mytEAA","2016-05-30T11:40:41.000Z","00563000000JZfLAAW","2016-05-30T12:45:05.000Z","00563000000JZfLAAW","2016-05-30T12:45:05.000Z","People Manager","People Manager","Interest And Ambition","true","Select One of the Questions for Interest and Ambition area.","true","Item Created"
"a0921000000EUPYAA4","false","Head of Function - Dream Big","00D630000008mytEAA","2016-05-30T12:18:42.000Z","00563000000JZfLAAW","2016-05-30T12:44:09.000Z","00563000000JZfLAAW","2016-05-30T12:44:09.000Z","Head of Function","Head of Function","Dream Big","true","Select One of the Questions for Dream Big Competency.","true","Item Created"
"a0921000000EUPZAA4","false","Head of Function - Live Our Culture","00D630000008mytEAA","2016-05-30T12:19:27.000Z","00563000000JZfLAAW","2016-05-30T12:44:20.000Z","00563000000JZfLAAW","2016-05-30T12:44:20.000Z","Head of Function","Head of Function","Live Our Culture","true","Select One of the Questions for Live Our Culture.","true","Item Created"
"a0921000000EUPaAAO","false","Cultural Bar Raiser - Live Our Culture","00D630000008mytEAA","2016-05-30T12:09:00.000Z","00563000000JZfLAAW","2016-05-30T12:43:37.000Z","00563000000JZfLAAW","2016-05-30T12:43:37.000Z","Cultural Bar Raiser","Cultural Bar Raiser","Live Our Culture","true","Select One of the Questions for Live Our Culture.","true","Item Created"
"a0921000000EUPbAAO","false","Head of Function - Insights","00D630000008mytEAA","2016-05-30T12:17:45.000Z","00563000000JZfLAAW","2016-05-30T12:44:15.000Z","00563000000JZfLAAW","2016-05-30T12:44:15.000Z","","Head of Function","Insights","false","Select One of the Questions for Insights.","true","Item Created"
"a0921000000EUPcAAO","false","EBM - Develop People","00D630000008mytEAA","2016-05-30T12:12:40.000Z","00563000000JZfLAAW","2016-06-01T20:43:59.000Z","00563000000JZfLAAW","2016-06-01T20:43:59.000Z","","EBM","Develop People","false","Select One of the Questions for Develop People.","true","Item Created"
"a0921000000EUPdAAO","false","EBM - Live Our Culture","00D630000008mytEAA","2016-05-30T12:13:12.000Z","00563000000JZfLAAW","2016-05-30T12:43:58.000Z","00563000000JZfLAAW","2016-05-30T12:43:58.000Z","","EBM","Live Our Culture","false","Select One of the Questions for Live Our Culture.","true","Item Created"
"a0921000000EUPeAAO","false","Hiring Manager - Func. Achievements","00D630000008mytEAA","2016-05-30T12:14:06.000Z","00563000000JZfLAAW","2016-05-30T12:44:26.000Z","00563000000JZfLAAW","2016-05-30T12:44:26.000Z","Hiring Manager","Hiring Manager","Functional Achievements","true","Select One of the Questions for Functional Achievement area.","true","Item Created"
"a0921000000EUPfAAO","false","Cultural Bar Raiser - Dream Big","00D630000008mytEAA","2016-05-30T11:41:32.000Z","00563000000JZfLAAW","2016-05-30T12:43:32.000Z","00563000000JZfLAAW","2016-05-30T12:43:32.000Z","Head of Function","Cultural Bar Raiser","Dream Big","true","Select One of the Questions for Dream Big Competency.","true","Item Created"
"a0921000000EUPgAAO","false","Key Challenger - Socio Economic","00D630000008mytEAA","2016-05-30T12:16:16.000Z","00563000000JZfLAAW","2016-05-30T12:44:51.000Z","00563000000JZfLAAW","2016-05-30T12:44:51.000Z","","Key Challenger","Socio Economic","false","Select One of the Questions for Socio Economic.","true","Item Created"
"a0921000000EUPhAAO","false","Head of Function - Develop People","00D630000008mytEAA","2016-05-30T12:19:08.000Z","00563000000JZfLAAW","2016-05-30T12:44:03.000Z","00563000000JZfLAAW","2016-05-30T12:44:03.000Z","Head of Function","Head of Function","Develop People","true","Select One of the Questions for Develop People area.","true","Item Created"
"a0921000000EUPiAAO","false","Key Challenger - Industry Knowledge","00D630000008mytEAA","2016-05-30T12:16:01.000Z","00563000000JZfLAAW","2016-05-30T12:44:46.000Z","00563000000JZfLAAW","2016-05-30T12:44:46.000Z","","Key Challenger","Industry Knowledge","false","Select One of the Questions for Industry Knowledge.","true","Item Created"
"a0921000000EUPjAAO","false","People Manager - Develop People","00D630000008mytEAA","2016-05-30T11:40:06.000Z","00563000000JZfLAAW","2016-05-30T12:44:56.000Z","00563000000JZfLAAW","2016-05-30T12:44:56.000Z","People Manager","People Manager","Develop People","true","Select One of the Questions for Develop People area.","true","Item Created"
"a0921000000EUPkAAO","false","EBM - Dream Big","00D630000008mytEAA","2016-05-30T12:11:16.000Z","00563000000JZfLAAW","2016-05-30T12:43:52.000Z","00563000000JZfLAAW","2016-05-30T12:43:52.000Z","","EBM","Dream Big","false","Select One of the Questions for Dream Big Competency.","true","Item Created"
